Title,Title_link,Thumbnail,reviewCountContainer_2EO6o,Price,price_FHDfG,availabilityMessageSearch_23ZLw,salePrice_kTFZ3,productSaving_3YmNX,availabilityMessageSearchPickup_2eGze
"HP ENVY 13.3"" Laptop - Natural Silver (Intel Core i5-10210U/256GB SSD/8GB RAM/Windows 10) - Open Box",https://www.bestbuy.ca/en-ca/product/hp-envy-13-3-laptop-natural-silver-intel-core-i5-10210u-256gb-ssd-8gb-ram-windows-10-open-box/14321039,,(0 Reviews),$969.99,$969.99,Available online only,$969.99,SAVE $30,
Acer 11.6” Spin 1 convertible notebook (Intel N5000/4Gb/64Gb eMMC/Win10 S) - Manufacturer ReCertified w/ 1 Year Warranty,https://www.bestbuy.ca/en-ca/product/acer-11-6-spin-1-convertible-notebook-intel-n5000-4gb-64gb-emmc-win10-s-manufacturer-recertified-w-1-year-warranty/13571828,,(0 Reviews),$369.99,$369.99,Available online only,,,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Platinum (Intel Core i5-1035G7/256GB SSD/8GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-platinum-intel-core-i5-1035g7-256gb-ssd-8gb-ram-english/13949363,,(9 Reviews),"$1,529.99","$1,529.99",Available online,"$1,529.99",SAVE $200,Sold out in nearby stores
"Dell Latitude E7240 12.5"" Ultrabook, Intel Core i5-4300U CPU, 8GB RAM, 256GB SSD, Windows 10 - Refurbished",https://www.bestbuy.ca/en-ca/product/dell-latitude-e7240-12-5-ultrabook-intel-core-i5-4300u-cpu-8gb-ram-256gb-ssd-windows-10-refurbished/13493162,,(0 Reviews),$369.88,$369.88,Available online only,$369.88,SAVE $129,
"Dell Latitude 7370 Touch 13.3"" Laptop, Intel Core M5-6Y57 up to 2.8G,8G DDR3L,256G SSD,Win10 Pro 64 Bit (EN/FR/ES)-Refurbished",https://www.bestbuy.ca/en-ca/product/dell-latitude-7370-touch-13-3-laptop-intel-core-m5-6y57-up-to-2-8g-8g-ddr3l-256g-ssd-win10-pro-64-bit-en-fr-es-refurbished/14515638,,(0 Reviews),$530.98,$530.98,Available online only,$530.98,SAVE $265,
"Dell Inspiron 13.3"" Laptop - Platinum Silver (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10) - Refurbished",https://www.bestbuy.ca/en-ca/product/dell-inspiron-13-3-laptop-platinum-silver-intel-core-i5-8250u-256gb-ssd-8gb-ram-windows-10-refurbished/13862806,,(0 Reviews),$631.99,$631.99,Available online only,$631.99,SAVE $118,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Cobalt Blue (Intel Core i7-1065G7/256GB SSD/16GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-cobalt-blue-intel-core-i7-1065g7-256gb-ssd-16gb-ram-english/13949371,,(12 Reviews),"$1,949.99","$1,949.99",Available online,"$1,949.99",SAVE $200,Sold out in nearby stores
"Lenovo ThinkPad X230 12.5"" Laptop, Intel Core i3 3130M 2.6 GHz, 4G DDR3, 320G, VGA, DP, USB 3.0, W10H64 (EN/FR/ES)-Refurbished",https://www.bestbuy.ca/en-ca/product/lenovo-thinkpad-x230-12-5-laptop-intel-core-i3-3130m-2-6-ghz-4g-ddr3-320g-vga-dp-usb-3-0-w10h64-en-fr-es-refurbished/14519498,,(0 Reviews),$337.98,$337.98,Available online only,$337.98,SAVE $169,
"Dell Latitude E6230 12.5"" Laptop, Intel Core i5 3320M up to 3.3G, 4G DDR3, 320G, Windows 10 Home 64 Bit (EN/FR/ES)-Refurbished",https://www.bestbuy.ca/en-ca/product/dell-latitude-e6230-12-5-laptop-intel-core-i5-3320m-up-to-3-3g-4g-ddr3-320g-windows-10-home-64-bit-en-fr-es-refurbished/14515554,,(0 Reviews),$359.98,$359.98,Available online only,$359.98,SAVE $180,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Sandstone (Intel Core i7-1065G7/256GB SSD/16GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-sandstone-intel-core-i7-1065g7-256gb-ssd-16gb-ram-english/13949387,,(7 Reviews),"$1,949.99","$1,949.99",Sold out online,"$1,949.99",SAVE $200,Sold out in nearby stores
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Platinum (Intel Core i7-1065G7/256GB SSD/16GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-platinum-intel-core-i7-1065g7-256gb-ssd-16gb-ram-english/13949365,,(7 Reviews),"$1,949.99","$1,949.99",Available online,"$1,949.99",SAVE $200,Sold out in nearby stores
"Microsoft Surface 2 13.5"" Touchscreen Laptop - Platinum (Intel Core i7/1TB SSD/16GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-2-13-5-touchscreen-laptop-platinum-intel-core-i7-1tb-ssd-16gb-ram-english/13013386,,(3 Reviews),"$2,799.97","$2,799.97",Available online,,,Sold out in nearby stores
Dell XPS 13 9370 Laptop - Gray - (1.7 GHz i5 8350U Intel Processor / 256GB SDD / 16GB RAM / Windows 10 Pro) - Refurbished,https://www.bestbuy.ca/en-ca/product/dell-xps-13-9370-laptop-gray-1-7-ghz-i5-8350u-intel-processor-256gb-sdd-16gb-ram-windows-10-pro-refurbished/14479774,,(0 Reviews),"$1,299.99","$1,299.99",Available online only,,,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Sandstone (Intel Core i5-1035G7/256GB SSD/8GB RAM) - French",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-sandstone-intel-core-i5-1035g7-256gb-ssd-8gb-ram-french/13949382,,(0 Reviews),"$1,529.99","$1,529.99",Available online,"$1,529.99",SAVE $120,Sold out in nearby stores
"HP ProBook x 360 11 G3 EE 11.6"" Touch Laptop (Intel Celeron Processor N4000 - 4GB RAM - 64GB eMMC) (7PT64UT#ABA)",https://www.bestbuy.ca/en-ca/product/hp-probook-x-360-11-g3-ee-11-6-touch-laptop-intel-celeron-processor-n4000-4gb-ram-64gb-emmc-7pt64ut-aba/14316830,,(0 Reviews),$516.99,$516.99,Available online only,$516.99,SAVE $57,
"Dell 13.3"" Laptop - Platinum Silver (Intel Core i5-10210U/256GB SSD/8GB RAM/Windows 10) - Open Box",https://www.bestbuy.ca/en-ca/product/dell-13-3-laptop-platinum-silver-intel-core-i5-10210u-256gb-ssd-8gb-ram-windows-10-open-box/14321014,,(0 Reviews),$849.99,$849.99,Available online only,,,
"Microsoft Surface 3 13.5"" Touchscreen Laptop - Matte Black (Intel Core i7-1065G7/1TB SSD/16GB RAM) - English",https://www.bestbuy.ca/en-ca/product/microsoft-surface-3-13-5-touchscreen-laptop-matte-black-intel-core-i7-1065g7-1tb-ssd-16gb-ram-english/13949383,,(4 Reviews),"$3,229.99","$3,229.99",Available online,,,Sold out in nearby stores
"Dell XPS 13.3"" Touchscreen Laptop - Silver (Intel Core i7 8550U/512GB SSD/16GB RAM/Windows 10) - Eng",https://www.bestbuy.ca/en-ca/product/dell-xps-13-3-touchscreen-laptop-silver-intel-core-i7-8550u-512gb-ssd-16gb-ram-windows-10-eng/12650346,,(862 Reviews),"$2,399.99","$2,399.99",Sold out online,,,
"Dell XPS 13.3"" Laptop - Platinum Silver (Intel Core i7-8565U/256GB SSD/8GB RAM/Windows 10) - Open Box",https://www.bestbuy.ca/en-ca/product/dell-xps-13-3-laptop-platinum-silver-intel-core-i7-8565u-256gb-ssd-8gb-ram-windows-10-open-box/14542651,,(0 Reviews),"$1,272.99","$1,272.99",Available online only,"$1,272.99",SAVE $127,
"HP 11 G7 EE 11.6"" Chromebook - Gray (Intel Celeron N4000 / 32GB eMMC / 4GB RAM / Chrome OS) - English - (6QY25UT#ABA)",https://www.bestbuy.ca/en-ca/product/hp-11-g7-ee-11-6-chromebook-gray-intel-celeron-n4000-32gb-emmc-4gb-ram-chrome-os-english-6qy25ut-aba/13816615,,(0 Reviews),$379.99,$379.99,Available online only,$379.99,SAVE $20,
Lenovo Thinkpad Ultrabook 12'' X250 Intel I5-5300U 8GB RAM 128GB SSD Wins 10 Pro - Refurbished,https://www.bestbuy.ca/en-ca/product/lenovo-thinkpad-ultrabook-12-x250-intel-i5-5300u-8gb-ram-128gb-ssd-wins-10-pro-refurbished/13653799,,(0 Reviews),$359,$359.00,Available online only,$359.00,SAVE $40,
