Title,Thumbnail,Price
"Acer Aspire A315-22-604B 15.6” Laptop with AMD A6-9220e, 256GB SSD, 8GB RAM, AMD Radeon R4 & Windows 10 Home - Black",https://www.thesource.ca/medias/20191114142510-108084712-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5NDQyfGltYWdlL2pwZWd8aW1hZ2VzL2gyNC9oNjgvOTE5MzE0MTUzNDc1MC5qcGd8ZDg4ZWZiMDJkYzA2OWVkMjhiYTg0MjU0YzVjMzMxMzVjZjIwNjIzZWU2YzQ5ZjM4Y2NkYmQ4MTA0MTAwNWU0Yg,$429.99
"ASUS VivoBook S15 S512FA-DB71 15.6” Laptop with Intel® i7-8565U, 1TB HDD, 256GB SSD, 8GB RAM & Windows 10 - Silver",https://www.thesource.ca/medias/20190729103519-108082706-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyMDE4NnxpbWFnZS9qcGVnfGltYWdlcy9oZDIvaDExLzkxNzI4MDI3NjQ4MzAuanBnfDVkOGJhOTVhMjAzMGYxNGRlMDJiOTJhZjUyNWZmYzEzYzU3NGJkZDgwMTEzNWJlZDg5MGRjMDVkZTY2ZGIxYTA,$899.99
"Acer Aspire A315-42-R3ZH 15.6” Laptop with AMD Ryzen 3-3200U, 256GB SSD, 12GB RAM, AMD Radeon Vega 3 & Windows 10 S - Black",https://www.thesource.ca/medias/20190711095016-108082525-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzNDIzN3xpbWFnZS9qcGVnfGltYWdlcy9oOTMvaDZkLzkxNjk1NDU1NjAwOTQuanBnfDQ4NWQ0YTI0YzQxYzMxZDAyNDZhMTNmOTMzYzM0NTFjYTY0MDcxMzk4Yzk4MDYwNzc5ODIyOTMwODRmZjM3NWQ,$499.99
"Acer Chromebook 11 CB3-132-11B9 11.6” Laptop with Intel® x5-E8000, 16GB eMMC, 4GB RAM & Chrome OS - White",https://www.thesource.ca/medias/20191018151527-108084679-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5NzQ0fGltYWdlL2pwZWd8aW1hZ2VzL2g1NC9oYTYvOTE4NzY5NTUyNTkxOC5qcGd8ZGVmZmMzOTc4ZGZjYWFmNzI5Y2NkNmY3MTkxOGU1OGM0YzA2MDE2OTc2MDRlMzUxZjAxOGI2MDFhNmIzM2Y3OQ,$269.99
"ASUS ROG Zephyrus S GX502GV-PB74 15.6” Gaming Laptop with Intel® i7-9750H, 512GB SSD, 16GB RAM, NVIDIA RTX 2060 & Windows 10 - Metallic Black",https://www.thesource.ca/medias/20190626155011-108083012-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyNzkzNXxpbWFnZS9qcGVnfGltYWdlcy9oMmEvaDlhLzkxNjczMjU3MjQ3MDIuanBnfGEwYzJjZDBlZmZiNDUzNTRjYWY3MjhhNGQzNWIyY2E4YzVmYjFhNWNjNDdmODQzZDZjZTRhMmRmYjQ3NThhNDU,"$2,199.99"
"ASUS ROG Strix III G GL731GU-RB74 17.3” Gaming Laptop with Intel® i7-9750H, 512GB SSD, 16GB RAM, NVIDIA GTX 1660 Ti & Windows 10 - Metallic Black",https://www.thesource.ca/medias/20190625150618-108083014-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyNDgxNnxpbWFnZS9qcGVnfGltYWdlcy9oZGUvaDFmLzkxNjcxMDEzMjk0MzguanBnfDM4ODY3MzRlOTlkN2U4YTI2ZjY5OWFkYTRkMGQ2NGE0NmYwMjMwZGNlM2E5MzIwOGZiMTYxM2FmMGVlM2QzMzU,"$1,899.99"
"HP 14-cf0016ca 14” Laptop with Intel® i3-7020U, 1TB HDD, 8GB RAM & Windows 10 - White - Refurbished",https://www.thesource.ca/medias/20180705115224-108076427-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMDQwOXxpbWFnZS9qcGVnfGltYWdlcy9oN2QvaDg0LzkwODA4MTUxOTAwNDYuanBnfDQwNGIzY2IwMDIxMjFlYzJhZDNkYWEwYWMwNmM3MmI1OGZlZmYxYmUzMDE5Yzk0MmYzYjBmZjA5OTVmZjlkZjM,$549.99
"ASUS Vivobook S15 S510UA-RS51 15.6” Laptop with Intel® i5-8250U, 1TB HDD, 8GB RAM & Windows 10 - Gold Metal",https://www.thesource.ca/medias/20180116160311-108074750-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMjUxNHxpbWFnZS9qcGVnfGltYWdlcy9oNDQvaGUxLzkwNDM4NDA0MDE0MzguanBnfDYzNDFjNTYwYjhjNDk0MGZkZmNlMjU2OGNlZTA2NmE4NjAyZTExM2ZjYzdlNTMzOWNmYTlmNTI5ZmIzZDZjNWI,$899.99
"Acer Chromebook 15 CB3-532-111K 15.6” Laptop with Intel® E8000, 16GB eMMC, 4GB RAM & Chrome OS",https://www.thesource.ca/medias/20191218150705-108084681-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMTkyN3xpbWFnZS9qcGVnfGltYWdlcy9oNjIvaDE5LzkyMTQ3NDAwNzA0MzAuanBnfDA1MjY5ODhiNTliYWNlZmZhMTgxODNlZTA0OGZhMDA5YTc4OTdlMWY5MDEwODY1MDJhZmQ0ZGZmZjc3NTY5OTc,$299.99
"ASUS VivoBook X540UA-TB51-CB 15.6” Laptop with Intel® i5-8250U, 1TB SSHD, 8GB RAM & Windows 10 - Chocolate Black & Gold",https://www.thesource.ca/medias/20190708163040-108082673-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyNTA4NHxpbWFnZS9qcGVnfGltYWdlcy9oZDUvaGY3LzkxNjkxMTQ2OTM2NjIuanBnfDk0MDNlMTY2ZDVkMGZkMzQxN2VkMDQwMWM1OGQ3NGI1OTVmYjQ4ZTBjYTIwNmNjYTBmMTYzY2VkODdlYTQzZGM,$799.99
"ASUS ZenBook 13 UX331FA-DB71 13.3” Laptop with Intel® i7-8565U, 512GB SSD, 8GB RAM & Windows 10 - Slate Grey",https://www.thesource.ca/medias/20190709151710-108082704-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxNjUwMnxpbWFnZS9qcGVnfGltYWdlcy9oODcvaGE0LzkxNjkyOTY2NTQzNjYuanBnfDk2MDA4Y2Q2ZmU2ZGNiODZhMjI5NGM3ZWQ3MDE1OTQxNTM4NzM3Yjk1NDc1YWEzYjU2ZjllZjVjZmYxZDA1ZTk,"$1,099.99"
